Product_ID,Product_Name,Fuel_Type,Unit,Production (01),"Production, refineries (013)",Imports (03),Stock changes (06),Exports (04),Non-energy uses (11),Marine bunkers (051),"Production, plants (014)",Aviation bunkers (052),Flared and vented (104)
AV,Aviation Gasoline,LF,WSR,441.35,441.35,50.561,7.079,,,,,,
BG,Blast Furnace Gas,GF,HSO,78960,,,,,,,,,
BT,Bitumen,LF,WSR,20462.376,20462.376,3565.182,262.706,984.159,22825.083,,,,
CL,Hard Coal,SF,WSR,247176,,4130,2315,74013,,,,,
CR,Conventional crude oil,LF,WSR,587483.339,,309956.468,-29328.782,176394.177,,,,,
DL,Gas Oil/ Diesel Oil,LF,WSR,232015.389,232015.389,9757.899,-1388.623,58658.375,1136.863,5796.437,,,
EA,Ethane,LF,WSR,52242.488,134.955,,-577.151,9073.293,43744.566,,52107.533,,
FS,Refinery Feedstocks,LF,WSR,,,25531.686,846.457,12939.55,,,,,
GG,Gasworks Gas,GF,HSO,52159,,,,,,,,,
GL,Natural Gas Liquids,LF,WSR,166378.098,,5.73,434.328,6766.923,,,,,
JF,Kerosene-type Jet Fuel,LF,WSR,74262.053,74262.053,5802.9,-30.463,8424.085,,,,21513.749,
KR,Other kerosene,LF,WSR,618.757,618.757,15.783,-46.442,361.06,,,,,
LB,Brown Coal,SF,WSR,291337,,1597,-2521,3965,,,,,
LP,Liquified Petroleum Gas,LF,WSR,87478.441,10763.62,5135.82,1948.987,56595.533,26975.636,,76714.821,,
LU,Lubricants,LF,WSR,8168.558,8168.558,2528.753,53.116,4901.561,5740.934,,,,
MO,Motor Gasoline,LF,WSR,349712.891,342727.076,29111.019,-1000.648,40903.864,,,6985.815,,
NG,Natural Gas (including LNG),GF,HSO,39761495.91,,3325825.49264,-314480.632,7466456,747594.028,,,,295955.9
NP,Naphtha,LF,WSR,5384.756,5384.756,534.82,-11.606,,5931.182,,,,
OG,Coke Oven Gas,GF,HSO,55278,,,,,,,,,
OH,Other hydrocarbons,LF,WSR,,,0,-0.307,,,,,,
OK,Coke Oven Coke,SF,WSR,10336,,61,-46,2103,,,,,
PK,Petroleum Coke,LF,WSR,53463.708,53463.708,629.583,9.8,37301.632,,,,,
PP,Other oil products n.e.c.,LF,WSR,12090.546,12090.546,527.027,5.7,68.207,11500.361,,,,
PW,Paraffin waxes,LF,WSR,247.013,247.013,268.997,6.607,209.91,299.493,,,,
RF,Fuel Oil,LF,WSR,13842.641,13842.641,11832.284,773.723,5653.602,,10815.295,,,
RG,Refinery Gas,GF,WSR,15878.303,15878.303,,,,1122.967,,,,
WS,White spirit and special boiling point industrial spirits,LF,WSR,1396.84,1396.84,591.328,-3.4,,1991.568,,,,
